period_start,admin1_region,admin2_zone,admin3_woreda,location_id,afp_cases,under15_afp_cases,under_vaccinated_afp_cases,adequate_stool_count,adequate_stool_rate,timely_notification_rate,timely_investigation_rate,timely_lab_result_rate,median_notification_delay_days,median_investigation_delay_days,median_lab_result_delay_days,np_afp_count,lab_negative_count,npent_count,suspected_poliovirus_lab_result_count,explicit_polio_positive_lab_result_count,afp_surveillance_quality_score,polio_surveillance_risk_score,risk_bucket
2025-12-01,Amhara,North Shewa (AM),Kuyu,ETH:94d038cb90c1,1,1,1,0,0.0,0.0,0.0,1.0,9.0,7.0,13.0,0,0,0,1,0,15.0,57.37,high
2025-12-01,Oromia,Arsi,SHIRKA,ETH:ET040814,2,2,2,0,0.0,0.5,0.0,0.5,4.0,7.0,14.5,0,2,0,0,0,27.5,54.82,high
2025-12-01,Oromia,Arsi,AMIGNA,ETH:ET040810,1,1,1,0,0.0,0.0,0.0,1.0,,,13.0,0,1,0,0,0,15.0,48.87,moderate
2025-12-01,Amhara,West Gojjam,Dega Damot,ETH:32cb9f4df492,1,1,0,0,0.0,0.0,0.0,0.0,,,49.0,0,1,0,0,0,10.0,37.2,moderate
2025-12-01,Oromia,East Hararge,Keresa,ETH:e4d1a965debc,4,4,3,4,1.0,0.25,1.0,0.0,10.5,0.0,43.0,4,3,0,1,0,60.0,36.89,moderate
2025-12-01,Benishangul Gumuz,Metekel,Mandura,ETH:ET060204,1,1,1,1,1.0,0.0,0.0,0.0,10.0,-2.0,43.0,1,0,0,1,0,35.0,36.42,moderate
2025-12-01,South Ethiopia,Wolayita,Ofa,ETH:ET080107,1,1,0,0,0.0,0.0,0.0,0.0,,,43.0,0,1,0,0,0,10.0,35.77,moderate
2025-12-01,Amhara,South Wolo,Kallu,ETH:86ad31c200fc,2,2,0,0,0.0,0.0,1.0,1.0,13.0,0.0,12.0,1,2,0,0,0,45.0,35.42,moderate
2025-12-01,South Ethiopia,Gamo,Kemba Zuria,ETH:ET080215,3,3,3,3,1.0,1.0,1.0,0.6666666666666666,4.0,0.0,14.0,3,1,0,2,0,85.0,34.74,moderate
2025-12-01,Amhara,North Wollo,Gubalafto,ETH:c16dca6d0dd0,1,1,0,0,0.0,0.0,0.0,0.0,10.0,6.0,16.0,0,1,0,0,0,10.0,34.34,moderate
2025-12-01,Amhara,South Gonder,Woreta,ETH:444dd210a191,1,1,0,0,0.0,0.0,1.0,1.0,14.0,1.0,11.0,0,1,0,0,0,45.0,33.87,moderate
2025-12-01,Amhara,South Wolo,Kutaber,ETH:2a1e0da17b98,1,1,1,1,1.0,0.0,1.0,0.0,11.0,0.0,43.0,1,1,0,0,0,55.0,33.63,moderate
2025-12-01,Amhara,North Shewa (AM),Eferata,ETH:5780745a4af6,2,2,0,0,0.0,0.5,1.0,0.0,10.0,1.0,15.0,2,2,0,0,0,40.0,33.51,moderate
2025-12-01,Tigray,North Western,Asgede,ETH:ET010105,1,1,0,0,0.0,0.0,0.0,0.0,12.0,3.0,15.0,1,1,0,0,0,10.0,33.39,moderate
2025-12-01,Benishangul Gumuz,Assosa,Abrahamo,ETH:c51c5a63cfaa,1,1,0,0,0.0,0.0,1.0,0.0,13.0,0.0,15.0,1,1,0,0,0,30.0,33.39,moderate
2025-12-01,Oromia,West Wellega,Nedjo Rural,ETH:1062041c28ed,2,2,0,0,0.0,0.5,1.0,1.0,10.0,0.5,12.5,1,1,1,0,0,50.0,33.27,moderate
2025-12-01,Oromia,West Shewa,Chelia,ETH:9706446bf9ce,1,1,0,0,0.0,0.0,1.0,1.0,13.0,1.0,11.0,1,1,0,0,0,45.0,33.15,moderate
2025-12-01,Amhara,South Gonder,Estie,ETH:0e95aa067a47,1,1,0,0,0.0,0.0,0.0,0.0,9.0,4.0,16.0,1,1,0,0,0,10.0,32.2,moderate
2025-12-01,Oromia,West Wellega,Gimbi Rural,ETH:1022f7d1c962,1,1,1,1,1.0,0.0,0.0,0.0,,,48.0,1,1,0,0,0,35.0,31.96,moderate
2025-12-01,Amhara,North Wollo,Lalibela Town,ETH:866b461f24b0,1,1,1,1,1.0,0.0,1.0,0.0,8.0,1.0,43.0,1,1,0,0,0,55.0,31.49,moderate
2025-12-01,Oromia,East Wellega,Kiremu,ETH:ET040217,1,1,1,1,1.0,1.0,1.0,0.0,4.0,0.0,46.0,1,1,0,0,0,75.0,31.49,moderate
2025-12-01,Central Ethiopia,Kembata,Durame Town,ETH:ET070308,1,1,1,1,1.0,1.0,1.0,0.0,7.0,0.0,46.0,1,1,0,0,0,75.0,31.49,moderate
2025-12-01,South Ethiopia,Wolayita,Sodo Town,ETH:ET080113,1,1,1,1,1.0,1.0,0.0,0.0,4.0,-1.0,46.0,1,1,0,0,0,55.0,31.49,moderate
2025-12-01,Amhara,North Shewa (AM),Kewote,ETH:1c4a583c5d6f,1,1,1,1,1.0,1.0,1.0,0.0,1.0,0.0,43.0,1,1,0,0,0,75.0,30.77,moderate
2025-12-01,Oromia,South West Shewa,Ameya,ETH:ET041301,1,1,1,1,1.0,0.0,0.0,0.0,,,43.0,1,1,0,0,0,35.0,30.77,moderate
2025-12-01,Tigray,Central Tigray,Rama,ETH:7f228152a195,1,1,0,0,0.0,0.0,1.0,1.0,9.0,1.0,13.0,0,1,0,0,0,35.0,30.3,moderate
2025-12-01,Oromia,Arsi,ROBE,ETH:ET040812,1,1,0,0,0.0,0.0,1.0,1.0,9.0,2.0,11.0,0,1,0,0,0,45.0,30.3,moderate
2025-12-01,Oromia,Guji,Bore,ETH:ET041402,2,2,0,1,0.5,0.0,0.5,0.0,12.0,2.0,48.0,2,2,0,0,0,32.5,30.3,moderate
2025-12-01,Oromia,Arsi,ZEWAY DUGDA,ETH:58474baf1627,2,2,1,1,0.5,0.5,0.0,1.0,0.0,4.0,14.0,2,2,0,0,0,47.5,30.06,moderate
2025-12-01,Tigray,Eastern Tigray,Subhasaesie,ETH:e81816daa521,1,1,0,0,0.0,0.0,1.0,0.0,8.0,0.0,16.0,1,1,0,0,0,30.0,30.06,moderate
2025-12-01,Amhara,South Gonder,Andabet,ETH:53bcd8740981,1,1,1,1,1.0,1.0,1.0,0.0,1.0,1.0,25.0,1,0,0,1,0,75.0,29.99,moderate
2025-12-01,Oromia,West Arsi,Shalla,ETH:7d431fa7828a,2,1,2,2,1.0,1.0,1.0,0.5,1.5,0.0,30.0,2,2,0,0,0,82.5,29.94,moderate
2025-12-01,Oromia,KELEM,Dale Wabera,ETH:a1387925c12d,1,1,0,0,0.0,0.0,0.0,0.0,,,18.0,1,1,0,0,0,10.0,29.82,moderate
2025-12-01,Oromia,East Bale,Dawa Kechan,ETH:06e297f92446,2,2,2,2,1.0,0.5,0.5,1.0,4.0,1.0,12.0,2,1,0,1,0,70.0,29.63,moderate
2025-12-01,Sidama,North Sidama,Melga,ETH:fb65c9af9274,2,2,2,2,1.0,0.5,0.5,1.0,5.0,1.0,13.0,2,1,0,1,0,70.0,29.63,moderate
2025-12-01,Amhara,North Wollo,Kobo Town,ETH:05fde8684fe4,1,1,0,0,0.0,1.0,1.0,0.0,5.0,0.0,16.0,0,1,0,0,0,40.0,29.34,moderate
