period_start,afp_cases,high_surveillance_risk_rows,poor_stool_adequacy_rows,delayed_reporting_rows,under_vaccinated_afp_rows,suspected_poliovirus_signal_rows,mean_afp_surveillance_quality_score,mean_polio_surveillance_risk_score,total_under_vaccinated_afp_cases,total_suspected_poliovirus_lab_result_count
2021-01-01,92,1,9,47,10,3,73.62068965517241,10.696551724137931,10,3
2021-02-01,109,1,5,49,10,4,76.60526315789474,8.589578947368421,12,4
2021-03-01,225,0,15,93,14,25,74.00538461538461,9.399230769230769,14,28
2021-04-01,143,0,7,91,16,4,70.7976923076923,9.342564102564102,17,4
2021-05-01,176,4,12,79,23,1,74.99450331125828,9.705827814569536,25,1
2021-06-01,118,0,7,80,7,2,68.70283018867924,8.110566037735849,7,2
2021-07-01,129,1,11,59,16,4,73.76126126126127,10.466396396396396,19,4
2021-08-01,127,0,6,57,25,0,76.5909090909091,10.381272727272728,26,0
2021-09-01,97,5,20,50,19,4,69.10112359550561,16.196516853932586,19,4
2021-10-01,300,7,59,170,58,27,59.545099009900994,19.516039603960394,68,29
2021-11-01,98,3,8,48,32,4,73.36349397590361,15.139759036144577,38,5
2021-12-01,79,0,8,60,22,1,45.39855072463768,13.231739130434782,25,1
2022-01-01,107,0,7,62,21,0,64.12141304347826,10.922065217391305,22,0
2022-02-01,95,1,6,36,13,0,78.8529411764706,9.695411764705883,15,0
2022-03-01,149,1,13,52,15,0,77.64860465116278,9.573333333333334,16,0
2022-04-01,283,0,17,165,39,23,68.66980198019802,13.43509900990099,43,27
2022-05-01,160,1,11,100,24,4,71.09154929577464,10.472887323943663,24,4
2022-06-01,107,0,5,49,21,0,73.18348314606742,10.577977528089889,22,0
2022-07-01,110,1,10,49,15,0,75.67032608695652,10.361304347826087,17,0
2022-08-01,106,0,8,48,15,0,76.29821052631578,10.055684210526316,15,0
2022-09-01,104,1,9,44,20,0,75.97521276595745,11.48468085106383,21,0
2022-10-01,118,3,12,51,16,0,74.80349056603774,10.674622641509433,17,0
2022-11-01,128,3,9,68,32,0,69.4620909090909,12.296272727272726,33,0
2022-12-01,84,1,1,74,26,0,65.87837837837837,11.612567567567568,28,0
2023-01-01,112,3,5,79,13,1,66.38857142857142,15.783367346938775,13,1
2023-02-01,109,1,6,97,12,0,60.077319587628864,18.733092783505153,13,0
2023-03-01,169,1,11,142,26,1,61.90725352112676,18.550281690140846,26,1
2023-04-01,94,0,7,61,14,2,69.15629629629629,12.164691358024692,16,2
2023-05-01,140,0,6,65,19,0,76.82926829268293,9.278130081300814,19,0
2023-06-01,131,1,8,96,18,0,66.99152542372882,9.812372881355932,22,0
2023-07-01,132,1,7,92,21,1,69.45758620689655,11.26353448275862,22,1
2023-08-01,118,1,12,80,17,0,67.03271028037383,12.98429906542056,17,0
2023-09-01,95,0,10,59,13,1,68.13953488372093,10.949186046511628,13,1
2023-10-01,129,1,10,61,19,3,74.54616071428572,10.429374999999999,21,3
2023-11-01,108,1,6,52,20,1,74.24479166666667,10.243020833333334,20,1
2023-12-01,111,1,4,47,20,2,74.7281052631579,9.506421052631579,22,3
2024-01-01,134,0,9,67,17,9,70.24697247706422,9.470091743119266,18,11
2024-02-01,136,2,6,60,17,5,73.55309734513274,8.999734513274337,17,9
2024-03-01,134,0,11,64,22,7,71.37009009009009,11.635315315315315,26,7
2024-04-01,154,1,15,72,19,7,72.00328125,11.12578125,21,7
2024-05-01,168,0,11,104,29,3,68.2372027972028,11.034335664335664,29,3
2024-06-01,139,0,9,67,25,9,72.59725,10.50925,26,9
2024-07-01,162,3,13,104,29,13,66.848984375,12.2375,31,17
2024-08-01,152,3,9,87,22,4,72.07346456692913,10.016850393700786,24,4
2024-09-01,116,0,10,43,21,12,76.67480392156862,11.559117647058823,23,12
2024-10-01,149,1,8,72,20,20,73.92909090909092,10.089256198347107,22,22
2024-11-01,155,1,5,64,37,12,74.17352459016394,12.387213114754099,48,15
2024-12-01,160,1,10,106,46,11,64.296992481203,13.246015037593985,53,13
2025-01-01,157,2,13,119,36,18,66.39007246376812,15.11826086956522,37,19
2025-02-01,303,2,20,158,58,48,65.86907692307692,15.342666666666668,88,61
2025-03-01,149,1,8,87,30,15,70.15376923076923,11.656153846153845,33,16
2025-04-01,121,0,9,50,25,10,75.79121212121213,12.400808080808082,32,11
2025-05-01,182,0,12,77,29,4,75.32205673758865,10.72886524822695,34,4
2025-06-01,152,1,6,59,29,2,75.99860655737704,10.345409836065574,32,2
2025-07-01,134,1,7,61,29,0,75.37678260869565,11.142695652173913,32,0
2025-08-01,109,2,6,46,22,2,76.57316326530612,10.770714285714286,22,2
2025-09-01,110,0,9,47,20,4,74.15442105263158,11.292315789473683,22,4
2025-10-01,207,3,15,79,40,21,75.86751552795032,12.415465838509318,42,22
2025-11-01,166,5,20,61,37,11,72.84942446043165,15.356690647482013,45,11
2025-12-01,269,2,24,152,77,31,66.09045454545455,17.381363636363638,97,35
