period_start,admin1_region,admin2_zone,admin3_woreda,location_id,afp_cases,under15_afp_cases,under_vaccinated_afp_cases,adequate_stool_count,adequate_stool_rate,timely_notification_rate,timely_investigation_rate,timely_lab_result_rate,median_notification_delay_days,median_investigation_delay_days,median_lab_result_delay_days,np_afp_count,lab_negative_count,npent_count,suspected_poliovirus_lab_result_count,explicit_polio_positive_lab_result_count,afp_surveillance_quality_score,polio_surveillance_risk_score,risk_bucket
2023-01-01,Dire Dawa,Dire Dawa,Dire Dawa,ETH:393561686b33,1,0,1,0,0.0,0.0,1.0,0.0,48.0,0.0,266.0,1,1,0,0,0,30.0,73.87,high
2025-01-01,Amhara,South Gonder,Andabet,ETH:53bcd8740981,1,1,1,0,0.0,0.0,1.0,0.0,33.0,0.0,55.0,1,1,0,0,0,30.0,73.63,high
2021-05-01,Oromia,Guji,Aga Weyu,ETH:03b04b3153f4,1,1,1,0,0.0,0.0,0.0,0.0,147.0,4.0,32.0,1,1,0,0,0,10.0,69.58,high
2024-10-01,Hareri,Hareri,Sofi,ETH:f88dfeaeb240,1,1,1,0,0.0,0.0,1.0,1.0,37.0,0.0,14.0,0,0,0,1,0,35.0,67.37,high
2024-02-01,Afar,Zone 1,Ayssaita woreda,ETH:6add82231d22,1,1,1,0,0.0,0.0,1.0,0.0,14.0,0.0,57.0,0,0,0,1,0,20.0,67.37,high
2024-04-01,Gambella,Etang Special,Itang Sp.Woreda,ETH:ba724e371280,1,1,1,0,0.0,0.0,1.0,0.0,15.0,0.0,49.0,0,0,0,1,0,30.0,66.42,high
2021-09-01,Amhara,North Shewa (AM),Basona Wrena,ETH:af373c6d871a,1,1,1,0,0.0,0.0,1.0,0.0,34.0,1.0,24.0,1,1,0,0,0,30.0,66.25,high
2021-09-01,Afar,Zone 2,Kuneba,ETH:6f3ecf70c40e,1,1,1,0,0.0,0.0,1.0,0.0,41.0,0.0,22.0,0,1,0,0,0,20.0,65.77,high
2021-07-01,Oromia,KELEM,SADI CHANKA,ETH:2848c08a3a61,1,1,1,0,0.0,0.0,1.0,0.0,51.0,0.0,16.0,1,1,0,0,0,30.0,64.34,high
2021-09-01,SNNPR,Hadiya,East Badewacho,ETH:9d0154224cba,1,1,1,0,0.0,0.0,1.0,0.0,29.0,1.0,16.0,0,1,0,0,0,30.0,64.34,high
2022-09-01,Benishangul Gumuz,Metekel,Dibate,ETH:ET060205,1,1,1,0,0.0,0.0,1.0,1.0,30.0,0.0,12.0,0,1,0,0,0,35.0,63.87,high
2021-10-01,Somali,Jarar,Dagah Madow,ETH:3457328694e5,1,1,1,0,0.0,0.0,1.0,1.0,28.0,1.0,13.0,0,1,0,0,0,45.0,63.87,high
2023-02-01,Amhara,OROMIYA,Jille thumuga,ETH:bc3b10de2441,1,1,1,0,0.0,0.0,1.0,0.0,14.0,0.0,95.0,1,1,0,0,0,30.0,63.87,high
2022-07-01,Oromia,Asela T.,Asela Town,ETH:3f7e2dc5805b,1,1,1,0,0.0,0.0,1.0,1.0,41.0,1.0,13.0,1,1,0,0,0,45.0,63.87,high
2025-08-01,Amhara,Debre Birhan Town,Debre Birhan Town,ETH:cd910e06ec69,1,1,1,0,0.0,0.0,1.0,1.0,27.0,0.0,12.0,1,1,0,0,0,45.0,63.15,high
2021-10-01,Oromia,Jimma,Gomma,ETH:2c5bc3895eca,1,1,1,0,0.0,0.0,1.0,0.0,12.0,2.0,60.0,0,1,0,0,0,30.0,62.44,high
2024-07-01,Somali,DAWA,Moyale,ETH:684eceef135f,1,1,1,0,0.0,0.0,1.0,0.0,15.0,0.0,32.0,0,0,0,1,0,30.0,62.37,high
2021-11-01,Benishangul Gumuz,Metekel,Gilgel Beles Town,ETH:ET060200,1,1,1,0,0.0,0.0,0.0,1.0,23.0,4.0,12.0,0,1,0,0,0,15.0,61.73,high
2025-11-01,Amhara,North Gondar,Telemt,ETH:ET030119,1,1,1,0,0.0,0.0,1.0,0.0,12.0,0.0,34.0,1,0,0,1,0,20.0,60.7,high
2022-10-01,Oromia,Jimma,Kersa Dula,ETH:e891f3aafee8,1,1,1,0,0.0,0.0,1.0,0.0,23.0,0.0,,0,0,0,0,0,20.0,60.3,high
2023-11-01,Somali,Gode,Imay Bari,ETH:783837ba110b,1,1,1,0,0.0,0.0,1.0,1.0,21.0,0.0,13.0,1,1,0,0,0,45.0,58.87,high
2022-12-01,Amhara,South Wolo,Mekdela,ETH:ea9d19201d25,1,1,1,0,0.0,1.0,0.0,0.0,0.0,16.0,,0,0,0,0,0,20.0,58.87,high
2023-06-01,SNNPR,Hadiya,Hossana,ETH:cf2bba0a4ce3,1,1,1,0,0.0,0.0,0.0,0.0,16.0,4.0,23.0,1,0,1,0,0,10.0,58.87,high
2023-12-01,Somali,Gode,Godey,ETH:350fc68009f4,1,1,1,0,0.0,0.0,1.0,1.0,21.0,1.0,13.0,1,1,0,0,0,45.0,58.87,high
2024-08-01,Oromia,West Hararge,Habro WorHO,ETH:8e9ef34afec9,1,0,1,0,0.0,0.0,1.0,1.0,16.0,0.0,13.0,0,0,0,1,0,45.0,58.8,high
2025-02-01,Benishangul Gumuz,Assosa,Oda Buldiglu,ETH:c4b44182e8cd,1,1,1,0,0.0,0.0,0.0,0.0,11.0,3.0,39.0,1,0,1,0,0,10.0,58.39,high
2025-02-01,Oromia,East Shewa,Meki Town,ETH:ce9fbb9cc8fb,1,1,1,0,0.0,0.0,1.0,1.0,15.0,0.0,2.0,1,0,0,1,0,45.0,58.08,high
2023-07-01,Afar,Zone 1,Ayssaita,ETH:c9893d6c81bb,1,1,1,0,0.0,0.0,1.0,0.0,14.0,0.0,31.0,0,1,0,0,0,30.0,57.92,high
2022-11-01,Benishangul Gumuz,Metekel,Bullen,ETH:b639d29fc596,1,1,1,0,0.0,0.0,1.0,0.0,19.0,0.0,,0,0,0,0,0,20.0,57.44,high
2025-12-01,Amhara,North Shewa (AM),Kuyu,ETH:94d038cb90c1,1,1,1,0,0.0,0.0,0.0,1.0,9.0,7.0,13.0,0,0,0,1,0,15.0,57.37,high
2022-11-01,Amhara,South Gonder,Simada,ETH:bd9d6f6597e9,1,1,1,0,0.0,0.0,1.0,0.0,18.0,0.0,,0,0,0,0,0,20.0,56.73,high
2022-03-01,Oromia,Guji,Uraga,ETH:ET041401,3,3,2,0,0.0,0.0,1.0,0.0,20.0,1.0,19.0,3,2,1,0,0,30.0,56.55,high
2021-09-01,Amhara,Awi,Jawi,ETH:ET030906,2,2,0,0,0.0,0.0,1.0,0.0,38.5,0.5,42.5,0,1,0,1,0,30.0,56.42,high
2022-05-01,Amhara,South Gonder,Guna Begemider,ETH:800c833f6863,1,1,1,0,0.0,0.0,1.0,1.0,17.0,1.0,14.0,1,1,0,0,0,45.0,56.01,high
2024-08-01,Somali,Dollo,Danot,ETH:a1fa2bb19be9,1,1,1,0,0.0,0.0,1.0,1.0,17.0,0.0,13.0,1,1,0,0,0,45.0,56.01,high
2025-01-01,Oromia,Adama Special,Adama Town,ETH:206bf526354e,1,1,1,0,0.0,0.0,1.0,1.0,17.0,1.0,11.0,1,1,0,0,0,45.0,56.01,high
2025-10-01,Afar,Zone 1,Dubti woreda,ETH:33028def6a04,2,2,2,0,0.0,0.0,0.5,1.0,12.5,2.5,10.0,0,1,1,0,0,35.0,55.42,high
2021-11-01,Oromia,Arsi,Robe,ETH:ET040812,1,1,1,0,0.0,0.0,1.0,1.0,16.0,2.0,13.0,0,1,0,0,0,35.0,55.3,high
2021-05-01,Somali,Korahe,Shilaabo,ETH:5c60acc1349e,1,1,1,0,0.0,0.0,1.0,1.0,16.0,0.0,11.0,1,1,0,0,0,45.0,55.3,high
