pattern_scope,month,metric,value,n_rows,notes
month,1.0,external_monthly_measles_seasonality_index,0.7026421179737239,214,Derived from public non-Ethiopian measles rows; used as support priors only.
month,1.0,external_monthly_positive_rate,0.822429906542056,214,Derived from public non-Ethiopian measles rows; used as support priors only.
month,1.0,external_monthly_mean_log_cases,2.3087027884687408,214,Derived from public non-Ethiopian measles rows; used as support priors only.
month,1.0,external_monthly_p90_log_cases,5.326114085583729,214,Derived from public non-Ethiopian measles rows; used as support priors only.
month,2.0,external_monthly_measles_seasonality_index,1.0,236,Derived from public non-Ethiopian measles rows; used as support priors only.
month,2.0,external_monthly_positive_rate,0.8601694915254238,236,Derived from public non-Ethiopian measles rows; used as support priors only.
month,2.0,external_monthly_mean_log_cases,2.506263048077171,236,Derived from public non-Ethiopian measles rows; used as support priors only.
month,2.0,external_monthly_p90_log_cases,5.310492911979952,236,Derived from public non-Ethiopian measles rows; used as support priors only.
month,3.0,external_monthly_measles_seasonality_index,0.8871168279658093,265,Derived from public non-Ethiopian measles rows; used as support priors only.
month,3.0,external_monthly_positive_rate,0.8754716981132076,265,Derived from public non-Ethiopian measles rows; used as support priors only.
month,3.0,external_monthly_mean_log_cases,2.431265107479359,265,Derived from public non-Ethiopian measles rows; used as support priors only.
month,3.0,external_monthly_p90_log_cases,5.425151610630804,265,Derived from public non-Ethiopian measles rows; used as support priors only.
month,4.0,external_monthly_measles_seasonality_index,0.4738873157629461,265,Derived from public non-Ethiopian measles rows; used as support priors only.
month,4.0,external_monthly_positive_rate,0.8754716981132076,265,Derived from public non-Ethiopian measles rows; used as support priors only.
month,4.0,external_monthly_mean_log_cases,2.1567214190714337,265,Derived from public non-Ethiopian measles rows; used as support priors only.
month,4.0,external_monthly_p90_log_cases,4.975301825128964,265,Derived from public non-Ethiopian measles rows; used as support priors only.
month,5.0,external_monthly_measles_seasonality_index,0.48422800674728494,228,Derived from public non-Ethiopian measles rows; used as support priors only.
month,5.0,external_monthly_positive_rate,0.8771929824561403,228,Derived from public non-Ethiopian measles rows; used as support priors only.
month,5.0,external_monthly_mean_log_cases,2.163591624029431,228,Derived from public non-Ethiopian measles rows; used as support priors only.
month,5.0,external_monthly_p90_log_cases,4.670631305503967,228,Derived from public non-Ethiopian measles rows; used as support priors only.
