feature,importance,importance_share,feature_family
under15_confirmed_cases,0.16811483,0.16811483,other
suspected_records,0.052383866,0.052383866,other
line_list_records,0.042062256,0.042062256,other
ipc_phase3plus_population_high,0.03835431,0.03835431,population
mcv2_coverage_real_national,0.037895925,0.037895925,immunity_proxy
epi_linked_cases,0.022828706,0.022828706,other
year,0.018763268,0.018763268,other
admin1_region_Somali,0.017060483,0.017060483,region
mcv1_coverage_real_national,0.016502269,0.016502269,immunity_proxy
unknown_vaccine_share_confirmed,0.014689796,0.014689796,other
ipc_phase3plus_population_low,0.013234405,0.013234405,population
target_cases_rolling_3_prev,0.013164566,0.013164566,lagged_outbreak_signal
admin2_zone_S Omo,0.011989451,0.011989451,zone
admin2_zone_Afder,0.011772908,0.011772908,zone
target_cases_lag_1,0.011543309,0.011543309,lagged_outbreak_signal
admin1_region_SNNPR,0.010338594,0.010338594,region
admin2_zone_E Gojjam,0.010178339,0.010178339,zone
month,0.010149852,0.010149852,other
admin1_region_South Ethiopia,0.010109408,0.010109408,region
admin2_zone_W Guji,0.009331078,0.009331078,zone
unknown_vaccine_confirmed_cases,0.009302366,0.009302366,other
admin1_region_Tigray,0.009069892,0.009069892,region
admin1_region_Amhara,0.008779526,0.008779526,region
admin1_region_Addis Ababa,0.00845718,0.00845718,region
ipc_phase3plus_population_mid,0.008206143,0.008206143,population
external_monthly_p90_log_cases,0.008200693,0.008200693,external_prior
ipc_phase3plus_population_mid_millions,0.007956911,0.007956911,population
admin2_zone_Kelem Wellega,0.0077901157,0.0077901157,zone
rainfall_anomaly_proxy,0.0074211517,0.0074211517,climate
mcv1_mcv2_dropout_real_national,0.0073501784,0.0073501784,immunity_proxy
admin2_zone_Bole,0.0070902775,0.0070902775,zone
admin2_zone_Goffa,0.00670012,0.00670012,zone
admin2_zone_Ale Special Woreda,0.006684553,0.006684553,zone
population_density_est,0.006600311,0.006600311,population
admin2_zone_West Omo,0.0065732747,0.0065732747,zone
admin2_zone_W Gojjam,0.0065420847,0.0065420847,zone
admin2_zone_Ari,0.006398765,0.006398765,zone
admin2_zone_Afar 5,0.006292051,0.006292051,zone
travel_time_healthcare_min_est,0.0061143455,0.0061143455,other
admin2_zone_Mao-Komo,0.0060784062,0.0060784062,zone
admin2_zone_Guji,0.0060650012,0.0060650012,zone
admin2_zone_Guraghe,0.0060436567,0.0060436567,zone
external_monthly_positive_rate,0.005862054,0.005862054,external_prior
admin2_zone_Central Gonder,0.005796499,0.005796499,zone
school_age_population_est,0.005774673,0.005774673,population
expert_prior_risk_score,0.005699576,0.005699576,other
under5_population_est,0.005673502,0.005673502,population
admin2_zone_Gedeo,0.005455875,0.005455875,zone
mcv1_coverage_est,0.0054418095,0.0054418095,immunity_proxy
mcv2_coverage_est,0.0054201568,0.0054201568,immunity_proxy
admin2_zone_Oromiya,0.005419547,0.005419547,zone
external_monthly_measles_seasonality_index,0.005393266,0.005393266,external_prior
population_total_est,0.005276912,0.005276912,population
admin2_zone_C Gonder,0.0052481676,0.0052481676,zone
susceptible_children_proxy,0.0052378997,0.0052378997,immunity_proxy
measles_dropout_proxy,0.0052352953,0.0052352953,immunity_proxy
admin1_region_Oromia,0.005025775,0.005025775,region
under5_confirmed_cases,0.005001263,0.005001263,other
admin2_zone_East Hararge,0.0049427594,0.0049427594,zone
admin2_zone_Buno Bedele,0.00488172,0.00488172,zone
admin2_zone_Jimma,0.004797857,0.004797857,zone
admin2_zone_W Harerghe,0.004785924,0.004785924,zone
admin2_zone_West Wellega,0.004783633,0.004783633,zone
