location_id,admin1_region,admin2_zone,admin3_woreda,first_outbreak_month,first_outbreak_cases,first_outbreak_deaths,outbreak_months_2025,cases_2025,deaths_2025,previous_outbreak_count,latest_prediction_period_start,latest_risk_probability,latest_risk_bucket,latest_risk_prediction
ETH:a74bf43a5a7d,Central Ethiopia,Tembaro Sp woreda,Tembaro,2025-01-01,17,0,5,356,0,0,2026-01-01,0.5643004,high,0
ETH:ET041709,Oromia,West Arsi,Nenesebo,2025-01-01,89,0,3,301,0,0,2026-01-01,0.5837579,high,0
ETH:6678abcd0d2f,Oromia,Kelem Wellega,Gawo Kebe/Dawo kebe,2025-01-01,152,0,3,222,0,0,2026-01-01,0.7253058,high,0
ETH:4a7be172ab2c,Oromia,East Harerghe,Melka Balo,2025-01-01,24,0,4,190,0,0,2026-01-01,0.5351441,high,0
ETH:ET041808,Oromia,Kelem Wellega,Dale Sadi,2025-01-01,155,0,2,188,0,0,2026-01-01,0.6221551,high,0
ETH:d97c40effe5b,Benishangul Gumuz,Kemashi,Below Jingafoy/Mizyiga,2025-01-01,184,3,1,184,3,0,2026-01-01,0.6202651,high,0
ETH:580cba6b8f45,Dire Dawa,Dire Dawa,Legehare,2025-01-01,40,0,6,167,1,0,2026-01-01,0.6455093,high,0
ETH:ET040402,Oromia,Jimma,Limu Kosa,2025-01-01,15,0,3,139,0,0,2026-01-01,0.65473527,high,0
ETH:644de8c5e0c7,Benishangul Gumuz,Asossa,Bilidigilu,2025-01-01,19,2,4,99,7,0,2026-01-01,0.6553635,high,0
ETH:ce3cb2fae401,Oromia,East Harerghe,Gursum (OR),2025-01-01,12,0,4,87,0,0,2026-01-01,0.60482013,high,0
ETH:9069987863c8,Oromia,East Harerghe,Haro Maya,2025-01-01,40,0,4,83,0,0,2026-01-01,0.61306584,high,0
ETH:ET040114,Oromia,West Wellega,Haru,2025-01-01,54,0,2,65,0,0,2026-01-01,0.5908567,high,0
ETH:3ee610ade76c,Oromia,Maya City,Adelle,2025-01-01,13,0,2,25,0,0,2026-01-01,0.59844565,high,0
ETH:14a3c33f5e12,South Ethiopia,Goffa,Gezei Gofa,2025-01-01,16,0,1,16,0,0,2026-01-01,0.66123056,high,0
ETH:95b823c67ed5,Oromia,Maya City,Haramaya,2025-01-01,9,0,2,16,0,0,2026-01-01,0.6256833,high,0
ETH:ET080902,South Ethiopia,Konso,Karat Zuria,2025-01-01,11,0,1,15,0,0,2026-01-01,0.87910646,very_high,1
ETH:ET040414,Oromia,Jimma,Shebe Sambo,2025-01-01,6,0,1,7,0,0,2026-01-01,0.572142,high,0
ETH:ET070213,Central Ethiopia,Hadiya,Gimbichu town,2025-01-01,7,0,1,7,0,0,2026-01-01,0.66433024,high,0
ETH:ET040204,Oromia,East Wellega,Haro Limu,2025-01-01,5,0,1,5,0,0,2026-01-01,0.6470978,high,0
ETH:780469bde054,Tigray,North West Tigray,Indasilassie town/Shire,2025-02-01,14,0,3,136,0,0,2026-01-01,0.21332483,low,0
ETH:ET030405,Amhara,South Wello,Thehulederie,2025-02-01,31,0,3,122,0,0,2026-01-01,0.5617875,high,0
ETH:82e653d04f9a,Tigray,North West Tigray,Asgede,2025-02-01,8,0,3,118,3,0,2026-01-01,0.226926,low,0
ETH:cde5d450f019,Oromia,West Harerghe,Goba Koricha,2025-02-01,22,1,3,76,1,0,2026-01-01,0.34187242,moderate,0
ETH:a69999373004,Oromia,West Harerghe,Habro,2025-02-01,17,0,3,41,0,0,2026-01-01,0.5368159,high,0
ETH:81f94b5689fd,Sidama,Eastern Sidama,Daye Town,2025-02-01,17,0,2,24,0,0,2026-01-01,0.63702667,high,0
ETH:bb17ae114ad2,Sidama,Southern Sidama,Chirone,2025-02-01,13,0,1,16,0,0,2026-01-01,0.5625961,high,0
ETH:5f0127e5f8cf,Sidama,Southern Sidama,Dara,2025-02-01,11,0,1,15,0,0,2026-01-01,0.6174636,high,0
ETH:581887d0b5b9,Oromia,East Shoa,Meki Town,2025-02-01,8,0,1,12,0,0,2026-01-01,0.56764585,high,0
ETH:0dd798ea213e,Sidama,Southern Sidama,Dara Otilcho,2025-02-01,11,0,1,11,0,0,2026-01-01,0.5846849,high,0
ETH:ET070308,Central Ethiopia,Kembata,Durame town,2025-02-01,6,0,1,11,0,0,2026-01-01,0.29109004,moderate,0
ETH:ec1be9e640a4,Somali,Fafan,Jigjiga Zuria/Shabeeley,2025-02-01,5,0,2,10,0,0,2026-01-01,0.67424077,high,0
ETH:58b876cd9c75,Hareri,Hareri,Dire Teyara,2025-02-01,5,0,1,6,0,0,2026-01-01,0.6352051,high,0
ETH:ET041603,Oromia,Buno Bedele,Chora (Buno Bedele),2025-03-01,15,0,2,86,0,0,2026-01-01,0.7092342,high,0
ETH:faab8441a08b,Amhara,Awi,Zigem,2025-03-01,12,1,3,25,1,0,2026-01-01,0.5107344,high,0
ETH:1aa08dfbb839,Oromia,East Harerghe,Deder,2025-03-01,11,0,2,22,0,0,2026-01-01,0.56081396,high,0
ETH:ET081109,South Ethiopia,Gedeo,Dila town,2025-03-01,10,0,2,17,0,0,2026-01-01,0.7125493,high,0
ETH:fe08d35c01c7,South West Ethiopia,Dawro,Tercha Zuriya,2025-03-01,13,0,1,17,0,0,2026-01-01,0.5049357,high,0
ETH:5fdcf621d5d0,Oromia,East Harerghe,Kersa (East Hararge),2025-03-01,5,0,2,15,0,0,2026-01-01,0.5465908,high,0
ETH:b9d4e71d05c6,Tigray,North West Tigray,Endabaguna town,2025-03-01,5,0,2,10,0,0,2026-01-01,0.20128688,low,0
ETH:16a74e63a890,South Ethiopia,Goffa,O'yida,2025-03-01,5,0,1,5,0,0,2026-01-01,0.82428986,very_high,1
ETH:ET040491,Oromia,Jimma,Omo Beyam,2025-04-01,5,0,1,5,0,0,2026-01-01,0.5613038,high,0
ETH:611d595b64d5,Oromia,East Harerghe,Kombolcha,2025-05-01,6,0,1,20,0,0,2026-01-01,0.68379,high,0
ETH:393561686b33,Dire Dawa,Dire Dawa,Dire Dawa,2025-05-01,11,0,1,17,0,0,2026-01-01,0.6964182,high,0
ETH:ET040407,Oromia,Jimma,Goma,2025-05-01,6,0,1,11,0,0,2026-01-01,0.68827945,high,0
ETH:de36390ef5d1,Oromia,East Harerghe,Fedis,2025-05-01,5,0,1,10,0,0,2026-01-01,0.51138705,high,0
ETH:ET081107,South Ethiopia,Gedeo,Rape,2025-05-01,5,0,1,6,0,0,2026-01-01,0.7326199,high,0
ETH:564c93b75baa,Amhara,South Gonder,Sede Muja,2025-06-01,21,0,2,33,0,0,2026-01-01,0.6236339,high,0
ETH:ET080205,South Ethiopia,Gamo,Boreda,2025-06-01,12,0,1,14,0,0,2026-01-01,0.7911853,very_high,0
ETH:ed1720b7a6ea,Oromia,West Harerghe,Mieso,2025-07-01,6,0,2,29,0,0,2026-01-01,0.52830786,high,0
ETH:ET030422,Amhara,South Wello,Worebabu,2025-11-01,15,0,1,15,0,0,2026-01-01,0.68429947,high,0
ETH:2ca06dd21e25,Amhara,Central Gonder,Wegera,2025-11-01,13,0,1,13,0,0,2026-01-01,0.85815537,very_high,1
