location_id,prediction_period_start,admin1_region,admin2_zone,admin3_woreda,risk_probability,risk_prediction,risk_bucket,alert_role,alert_level,source_zone_high_risk_count,source_zone_very_high_count,source_zone_max_risk_probability,source_zone_top_source_woreda,alert_reason
ETH:ET041116,2026-01-01,Oromia,Bale,Goro (Bale),0.98416394,1,very_high,high_risk_source,critical,18,2,0.98416394,Goro (Bale),This woreda is high or very-high risk for the next prediction month.
ETH:ET041111,2026-01-01,Oromia,Bale,Harena Buluk,0.97661644,1,very_high,high_risk_source,critical,18,2,0.98416394,Goro (Bale),This woreda is high or very-high risk for the next prediction month.
ETH:ET041517,2026-01-01,Oromia,West Guji,Gelana (West Guji),0.9748116,1,very_high,high_risk_source,critical,8,1,0.9748116,Gelana (West Guji),This woreda is high or very-high risk for the next prediction month.
ETH:ET081202,2026-01-01,South Ethiopia,South Omo,Dasenech /Kuraz,0.8860612,1,very_high,high_risk_source,critical,6,6,0.8860612,Dasenech /Kuraz,This woreda is high or very-high risk for the next prediction month.
ETH:fa718828a596,2026-01-01,Oromia,Guji,Adola Rede,0.88357407,1,very_high,high_risk_source,critical,15,6,0.88357407,Adola Rede,This woreda is high or very-high risk for the next prediction month.
ETH:ET080902,2026-01-01,South Ethiopia,Konso,Karat Zuria,0.87910646,1,very_high,high_risk_source,critical,4,4,0.87910646,Karat Zuria,This woreda is high or very-high risk for the next prediction month.
ETH:ET081201,2026-01-01,South Ethiopia,South Omo,Bena Tsemay,0.8685933,1,very_high,high_risk_source,critical,6,6,0.8860612,Dasenech /Kuraz,This woreda is high or very-high risk for the next prediction month.
ETH:ET041412,2026-01-01,Oromia,Guji,Saba Boru,0.8662659,1,very_high,high_risk_source,critical,15,6,0.88357407,Adola Rede,This woreda is high or very-high risk for the next prediction month.
ETH:ET081206,2026-01-01,South Ethiopia,South Omo,Salamago,0.86598223,1,very_high,high_risk_source,critical,6,6,0.8860612,Dasenech /Kuraz,This woreda is high or very-high risk for the next prediction month.
ETH:ET081203,2026-01-01,South Ethiopia,South Omo,Hamer,0.8615683,1,very_high,high_risk_source,critical,6,6,0.8860612,Dasenech /Kuraz,This woreda is high or very-high risk for the next prediction month.
ETH:2ca06dd21e25,2026-01-01,Amhara,Central Gonder,Wegera,0.85815537,1,very_high,high_risk_source,critical,14,3,0.85815537,Wegera,This woreda is high or very-high risk for the next prediction month.
ETH:df0b855d1f20,2026-01-01,South Ethiopia,Gamo,Gerese town,0.85649246,1,very_high,high_risk_source,critical,10,10,0.85649246,Gerese town,This woreda is high or very-high risk for the next prediction month.
ETH:f69417c5cdee,2026-01-01,Amhara,Central Gonder,Gonder Zuria,0.8498108,1,very_high,high_risk_source,critical,14,3,0.85815537,Wegera,This woreda is high or very-high risk for the next prediction month.
ETH:15c85ed4077e,2026-01-01,South Ethiopia,Wolayta,Kindo Koyesha,0.83695865,1,very_high,high_risk_source,critical,4,3,0.83695865,Kindo Koyesha,This woreda is high or very-high risk for the next prediction month.
ETH:ET080905,2026-01-01,South Ethiopia,Konso,Kolme,0.83516103,1,very_high,high_risk_source,critical,4,4,0.87910646,Karat Zuria,This woreda is high or very-high risk for the next prediction month.
ETH:c56dbaceec78,2026-01-01,Amhara,West Gojjam,Jabi Tehnan,0.8326402,1,very_high,high_risk_source,critical,15,1,0.8326402,Jabi Tehnan,This woreda is high or very-high risk for the next prediction month.
ETH:4b34a000ecfc,2026-01-01,Amhara,Oromiya,Jilye Tumuga,0.8324774,1,very_high,high_risk_source,critical,14,1,0.8324774,Jilye Tumuga,This woreda is high or very-high risk for the next prediction month.
ETH:c15df857b128,2026-01-01,South Ethiopia,Ari,Woba Ari,0.8283605,1,very_high,high_risk_source,critical,5,5,0.8283605,Woba Ari,This woreda is high or very-high risk for the next prediction month.
ETH:ET080501,2026-01-01,South Ethiopia,Ari,Baka Dawula,0.82754004,1,very_high,high_risk_source,critical,5,5,0.8283605,Woba Ari,This woreda is high or very-high risk for the next prediction month.
ETH:ET110104,2026-01-01,South West Ethiopia,Sheka,Tepi,0.82484925,1,very_high,high_risk_source,critical,5,1,0.82484925,Tepi,This woreda is high or very-high risk for the next prediction month.
ETH:16a74e63a890,2026-01-01,South Ethiopia,Goffa,O'yida,0.82428986,1,very_high,high_risk_source,critical,7,6,0.82428986,O'yida,This woreda is high or very-high risk for the next prediction month.
ETH:ET080211,2026-01-01,South Ethiopia,Gamo,Garda Marta,0.82418567,1,very_high,high_risk_source,critical,10,10,0.85649246,Gerese town,This woreda is high or very-high risk for the next prediction month.
ETH:ET080202,2026-01-01,South Ethiopia,Gamo,Arba Minch Zuria,0.81614053,1,very_high,high_risk_source,critical,10,10,0.85649246,Gerese town,This woreda is high or very-high risk for the next prediction month.
ETH:ET080219,2026-01-01,South Ethiopia,Gamo,Mirab Abaya,0.8159093,1,very_high,high_risk_source,critical,10,10,0.85649246,Gerese town,This woreda is high or very-high risk for the next prediction month.
ETH:ca84f7df10fc,2026-01-01,South Ethiopia,Wolayta,Bayera Koisha,0.81257164,1,very_high,high_risk_source,critical,4,3,0.83695865,Kindo Koyesha,This woreda is high or very-high risk for the next prediction month.
ETH:ET080208,2026-01-01,South Ethiopia,Gamo,Daramalo,0.811437,1,very_high,high_risk_source,critical,10,10,0.85649246,Gerese town,This woreda is high or very-high risk for the next prediction month.
ETH:f7a3dc1beeaa,2026-01-01,South Ethiopia,Goffa,Sawla town,0.80981696,1,very_high,high_risk_source,critical,7,6,0.82428986,O'yida,This woreda is high or very-high risk for the next prediction month.
ETH:ET080508,2026-01-01,South Ethiopia,Ari,North Ari,0.8090883,1,very_high,high_risk_source,critical,5,5,0.8283605,Woba Ari,This woreda is high or very-high risk for the next prediction month.
ETH:ET041401,2026-01-01,Oromia,Guji,Uraga,0.8082082,1,very_high,high_risk_source,critical,15,6,0.88357407,Adola Rede,This woreda is high or very-high risk for the next prediction month.
ETH:035cb0a26203,2026-01-01,South Ethiopia,Wolayta,Sodo Town,0.80744755,1,very_high,high_risk_source,critical,4,3,0.83695865,Kindo Koyesha,This woreda is high or very-high risk for the next prediction month.
ETH:ET080904,2026-01-01,South Ethiopia,Konso,Segen Zuria,0.8056721,1,very_high,high_risk_source,critical,4,4,0.87910646,Karat Zuria,This woreda is high or very-high risk for the next prediction month.
ETH:ET042205,2026-01-01,Oromia,East Borena,Gora Dola,0.80464333,1,very_high,high_risk_source,critical,6,4,0.80464333,Gora Dola,This woreda is high or very-high risk for the next prediction month.
ETH:031382271d55,2026-01-01,South Ethiopia,Goffa,Denba Gofa,0.8042168,1,very_high,high_risk_source,critical,7,6,0.82428986,O'yida,This woreda is high or very-high risk for the next prediction month.
ETH:ET050207,2026-01-01,Somali,Fafan,Harshin,0.8036948,1,very_high,high_risk_source,critical,24,2,0.8036948,Harshin,This woreda is high or very-high risk for the next prediction month.
ETH:ET080210,2026-01-01,South Ethiopia,Gamo,Gacho Baba,0.8032731,1,very_high,high_risk_source,critical,10,10,0.85649246,Gerese town,This woreda is high or very-high risk for the next prediction month.
ETH:ET080511,2026-01-01,South Ethiopia,Ari,South Ari,0.8005374,1,very_high,high_risk_source,critical,5,5,0.8283605,Woba Ari,This woreda is high or very-high risk for the next prediction month.
ETH:160df2fc9311,2026-01-01,South Ethiopia,Goffa,Uba Debre Tsehay,0.80002517,1,very_high,high_risk_source,critical,7,6,0.82428986,O'yida,This woreda is high or very-high risk for the next prediction month.
ETH:6e633b9d15bc,2026-01-01,South Ethiopia,Goffa,Beto Town,0.7986975,0,very_high,high_risk_source,critical,7,6,0.82428986,O'yida,This woreda is high or very-high risk for the next prediction month.
